username,password,jobTitle,fullName,ID
bross,password,Hospital Administrator,Bob Ross,1,1
ncage,password,IT Administrator,Nick Cage,2,1
djohnson,password,Physical Therapy Administrator,Dwayne Johnson,3,1
jappleseed,password,Nurse Practitioner,Johnny Appleseed,4,0
rsmith,pear,Physical Therapist,Rob Smith,5,0
jnicholson,watermelon,Director of Nursing,Jack Nicholson,6,1
ksmith,1234,Occupational Therapist,Kim Smith,7,0
jlongmedow,12345,Nurse Practitioner,Joe Longmedow,8,0
jadams,lions123,Occupational Therapist,Jake Adams,9,0
bbaker,patriots333,Nurse Practitioner,Bob Baker,10,0
cdavis,mass459,Nurse Practitioner,Courtney Davis,11,0
lquinn,strangerThings,Physician Assistant,Lisa Quinn,12,0
nochoa,11street11,Physician Assistant,Nicole Ochoa,13,0
ghills,hills99,Audiologist,George Hills,14,0
eblackburn,anything12345,Physician Assistant,Elizabeth Blackburn,15,0
ehalley,granolaBar,Nurse,Edmond Halley,16,0
dhodgkin,987654321,Physician Assistant,Dorothy Hodgkin,17,0
mcurie,mapleStreet123,Medical Receptionist,Marie Curie,18,0
mborn,boston55,Physician Assistant,Max Born,19,0
sbaker,heart54321,Nurse,Sarah Baker,20,0
